,Jet ,Sharks ,20s,30s,40s,JH ,COL ,HS ,Single ,Married ,Divorced ,Pusher ,Bookie ,Burglar 
ART,1,0,0,0,1,1,0,0,1,0,0,1,0,0
AL,1,0,0,1,0,1,0,0,0,1,0,0,0,1
SAM,1,0,1,0,0,0,1,0,1,0,0,0,1,0
CLYDE,1,0,0,0,1,1,0,0,1,0,0,0,1,0
MIKE,1,0,0,1,0,1,0,0,1,0,0,0,1,0
JIM,1,0,1,0,0,1,0,0,0,0,1,0,0,1
GREG,1,0,1,0,0,0,0,1,0,1,0,1,0,0
JOHN,1,0,1,0,0,1,0,0,0,1,0,0,0,1
DOUG,1,0,0,1,0,0,0,1,1,0,0,0,1,0
LANCE,1,0,1,0,0,1,0,0,0,1,0,0,0,1
GEORGE,1,0,1,0,0,1,0,0,0,0,1,0,0,1
PETE,1,0,1,0,0,0,0,1,1,0,0,0,1,0
FRED,1,0,1,0,0,0,0,1,1,0,0,1,0,0
GENE,1,0,1,0,0,0,1,0,1,0,0,1,0,0
RALPH,1,0,0,1,0,1,0,0,1,0,0,1,0,0
PHIL,0,1,0,1,0,0,1,0,0,1,0,1,0,0
IKE,0,1,0,1,0,1,0,0,1,0,0,0,1,0
NICK,0,1,0,1,0,0,0,1,1,0,0,1,0,0
DON,0,1,0,1,0,0,1,0,0,1,0,0,0,1
NED,0,1,0,1,0,0,1,0,0,1,0,0,1,0
KARL,0,1,0,0,1,0,0,1,0,1,0,0,1,0
KEN,0,1,1,0,0,0,0,1,1,0,0,0,0,1
EARL,0,1,0,0,1,0,0,1,0,1,0,0,0,1
RICK,0,1,0,1,0,0,0,1,0,0,1,0,0,1
OL,0,1,0,1,0,0,1,0,0,1,0,1,0,0
NEAL,0,1,0,1,0,0,0,1,1,0,0,0,1,0
DAVE,0,1,0,1,0,0,0,1,0,0,1,1,0,0
